,id,username,gender,primary_color,age_group,energy_level,attention_need,personality,is_first_cat,has_other_cats,good_with_other_dogs,good_with_kids,employment,home_ownership,has_allergies,agree_to_fee,created_at,updated_at,age_no_preference,age_kitten,age_adult,age_juvenile,age_senior,primary_color_no_preference,primary_color_ginger,primary_color_black,primary_color_white,primary_color_calico_tortie,primary_color_others,primary_color_tabby
55,fab5c53d-493a-4baf-b8e5-3cd1e505d75e,Testing :),no preference,['calico/tortie'],['kitten'],no preference,an attention seeker,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-06-01 12:49:31.590000+00:00,2023-06-01 12:49:31.590000+00:00,False,True,False,False,False,False,False,False,False,True,False,False
56,e9822f25-1310-4efb-be0e-5900df8da592,Aaaaaaaa,no preference,['no preference'],['no preference'],chill,no preference,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-05-21 03:00:02.593000+00:00,2023-05-21 03:00:02.593000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
57,6a35ed14-cc31-42d2-b1e4-1f9d7a1d2a5d,Altabcde,no preference,['no preference'],"['juvenile', 'adult', 'kitten']",no preference,independent,anything is nice,False,True,False,False,working full time,self-owned,False,True,2023-05-18 06:44:23.068000+00:00,2023-05-18 06:44:23.068000+00:00,False,True,True,True,False,True,False,False,False,False,False,False
58,9b586a59-2705-4d92-95b1-ac2f210e2368,hraesvelgr,no preference,['no preference'],['juvenile'],chill,independent,anything is nice,True,False,True,True,working full time,staying with parents,False,True,2023-05-18 06:44:23.104000+00:00,2023-05-18 06:44:23.104000+00:00,False,False,False,True,False,True,False,False,False,False,False,False
59,c83fdfc5-4c78-4fd4-9c5a-f0996d4d9cc3,aeroxye123,no preference,['no preference'],['no preference'],chill,independent,all sweet,True,False,False,True,working full time,self-owned,False,True,2023-06-01 13:00:02.630000+00:00,2023-06-01 13:00:02.630000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
60,c4413d54-c804-42fb-b77e-760f3c6fdd5d,dwayne.cheong,no preference,['no preference'],['juvenile'],no preference,no preference,anything is nice,True,False,False,True,student,staying with parents,False,True,2023-05-19 00:34:51.636000+00:00,2023-05-19 00:34:51.636000+00:00,False,False,False,True,False,True,False,False,False,False,False,False
61,77d3470e-a5c4-4664-83aa-aba388c3c0ce,mmmmmmmm,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,False,True,False,False,working full time,self-owned,False,False,2023-05-18 05:13:37.468000+00:00,2023-05-18 05:13:37.468000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
62,b2fe504c-8b80-4f50-ab07-12b6e7ff8cd2,gadmantang,no preference,['no preference'],"['kitten', 'juvenile']",chill,independent,anything is nice,True,False,False,False,student,staying with parents,False,True,2023-06-09 11:28:30.250000+00:00,2023-06-09 11:28:30.250000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
63,3c194642-644e-469f-a4b7-b7ff29de507f,Sihuihui,no preference,"['ginger', 'calico/tortie', 'tabby']","['juvenile', 'adult', 'senior']",chill,no preference,anything is nice,True,False,False,False,working full time,staying with parents,True,True,2023-05-19 02:15:13.592000+00:00,2023-05-19 02:15:13.592000+00:00,False,False,True,True,True,False,True,False,False,True,False,True
64,23c9e331-9bb3-4667-9571-f42abf760be6,rueruerue,no preference,"['calico/tortie', 'ginger', 'others', 'tabby']","['kitten', 'juvenile', 'adult']",no preference,no preference,anything is nice,False,True,False,False,working full time,self-owned,False,True,2023-05-19 01:30:17.798000+00:00,2023-05-19 01:30:17.798000+00:00,False,True,True,True,False,False,True,False,False,True,True,True
